
 num     #instances         #bytes  class name
 457:            21            672  org.springframework.beans.propertyeditors.FileEditor
 458:            21            672  org.springframework.beans.propertyeditors.InputSourceEditor
 459:            21            672  org.springframework.beans.propertyeditors.InputStreamEditor
 460:            21            672  org.springframework.beans.propertyeditors.PathEditor
 461:            21            672  org.springframework.beans.propertyeditors.ReaderEditor
 462:            21            672  org.springframework.beans.propertyeditors.URIEditor
 463:            21            672  org.springframework.beans.propertyeditors.URLEditor
 464:            42            672  org.springframework.boot.context.properties.source.SpringIterableConfigurationPropertySource$CacheKey
 465:             6            672  sun.nio.ch.SocketChannelImpl
 466:            21            672  sun.util.locale.BaseLocale
 467:             6            664  [D
 468:            41            656  org.springframework.expression.common.LiteralExpression
 469:            27            648  org.apache.tomcat.util.res.StringManager
